generic_name,acb_score
alimemazine,1
alprazolam,1
alverine,1
aripiprazole,1
asenapine,1
atenolol,1
beclometasone dipropionate,1
bupropion hydrochloride,1
captopril,1
cetirizine,1
chlorthalidone,1
cimetidine hydrochloride,1
clidinium,1
clorazepate,1
codeine,1
colchicine,1
desloratadine,1
dextropropoxyphene,1
diazepam,1
digoxin,1
dipyridamole,1
disopyramide phosphate,1
fentanyl,1
fluvoxamine,1
furosemide,1
haloperidol,1
hydralazine,1
hydrocortisone,1
iloperidone,1
isosorbide preparations,1
levocetirizine,1
loperamide,1
loratadine,1
metoprolol,1
morphine,1
nifedipine,1
paliperidone,1
prednisone/prednisolone,1
quinidine,1
ranitidine,1
risperidone,1
theophylline,1
timolol maleate,1
trazodone,1
triamterene,1
venlafaxine,1
warfarin,1
amantadine,2
belladonna alkaloids,2
carbamazepine,2
cyclobenzaprine,2
cyproheptadine,2
loxapine,2
meperidine,2
methotrimeprazine,2
molindone,2
nefopam,2
oxcarbazepine,2
pethidine hydrochloride,2
pimozide,2
amitriptyline,3
amoxapine,3
atropine,3
benztropine,3
brompheniramine,3
chlorpheniramine,3
chlorpromazine,3
clemastine,3
clomipramine,3
clozapine,3
darifenacin,3
desipramine,3
dicyclomine,3
diphenhydramine,3
doxepin,3
doxylamine,3
fesoterodine,3
flavoxate,3
hydroxyzine,3
hyoscyamine,3
imipramine,3
meclizine,3
nortriptyline,3
olanzapine,3
orphenadrine,3
oxybutynin,3
paroxetine,3
perphenazine,3
procyclidine,3
promazine,3
promethazine,3
propantheline,3
propiverine,3
pyrilamine,3
quetiapine,3
scopolamine,3
solifenacin,3
thioridazine,3
tolterodine,3
trifluoperazine,3
trihexyphenidyl,3
trimipramine,3
trospium,3
