quarter,zip_file,status,extracted_target_files,extract_dir
2021Q1,faers_ascii_2021q1.zip,ok,4,data\faers_extracted\2021q1
2021Q2,faers_ascii_2021q2.zip,ok,4,data\faers_extracted\2021q2
2021Q3,faers_ascii_2021q3.zip,ok,4,data\faers_extracted\2021q3
2021Q4,faers_ascii_2021q4.zip,ok,4,data\faers_extracted\2021q4
2022Q1,faers_ascii_2022q1.zip,ok,4,data\faers_extracted\2022q1
2022Q2,faers_ascii_2022q2.zip,ok,4,data\faers_extracted\2022q2
2022Q3,faers_ascii_2022q3.zip,ok,4,data\faers_extracted\2022q3
2022Q4,faers_ascii_2022q4.zip,ok,4,data\faers_extracted\2022q4
2023Q1,faers_ascii_2023q1.zip,ok,4,data\faers_extracted\2023q1
2023Q2,faers_ascii_2023q2.zip,ok,4,data\faers_extracted\2023q2
2023Q3,faers_ascii_2023q3.zip,ok,4,data\faers_extracted\2023q3
2023Q4,faers_ascii_2023q4.zip,ok,4,data\faers_extracted\2023q4
2024Q1,faers_ascii_2024q1.zip,ok,4,data\faers_extracted\2024q1
2024Q2,faers_ascii_2024q2.zip,ok,4,data\faers_extracted\2024q2
2024Q3,faers_ascii_2024q3.zip,ok,4,data\faers_extracted\2024q3
2024Q4,faers_ascii_2024q4.zip,ok,4,data\faers_extracted\2024q4
2025Q1,faers_ascii_2025q1.zip,ok,4,data\faers_extracted\2025q1
2025Q2,faers_ascii_2025q2.zip,ok,4,data\faers_extracted\2025q2
2025Q3,faers_ascii_2025q3.zip,ok,4,data\faers_extracted\2025q3
2025Q4,faers_ascii_2025q4.zip,ok,4,data\faers_extracted\2025q4
